epoch,accuracy,loss,lr,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
62,0.9962652921676636,0.1187770813703537,0.0005,0.9999183416366577,0.9978095293045044,0.1305614858865738,0.9998095035552979
63,0.9956326484680176,0.1275312751531601,0.0005,0.9999183416366577,0.9977142810821533,0.12782923877239227,0.9997143149375916
64,0.9955918192863464,0.13057155907154083,0.0005,0.9999387860298157,0.9978095293045044,0.1312819868326187,0.9997143149375916
65,0.9977959394454956,0.08966860920190811,0.00025,0.9998775720596313,0.9971428513526917,0.07628373801708221,0.9998095035552979
66,0.9977551102638245,0.068311408162117,0.00025,0.9999183416366577,0.9980000257492065,0.06567312031984329,0.9998095035552979
67,0.9976326823234558,0.06451280415058136,0.00025,0.9998979568481445,0.9980000257492065,0.06958376616239548,0.9999047517776489
68,0.9978775382041931,0.0602908618748188,0.00025,0.9999591708183289,0.9981904625892639,0.06453350931406021,0.9998095035552979
69,0.9981632828712463,0.06057657673954964,0.00025,0.9998979568481445,0.9979047775268555,0.062219634652137756,1.0
70,0.9978163242340088,0.05985516309738159,0.00025,0.9998571276664734,0.9979047775268555,0.061318714171648026,1.0
71,0.9974489808082581,0.06265677511692047,0.00025,0.9999183416366577,0.9981904625892639,0.07246874272823334,1.0
72,0.9981428384780884,0.058992527425289154,0.00025,0.9999796152114868,0.9980000257492065,0.07523446530103683,0.9998095035552979
73,0.9975510239601135,0.062208402901887894,0.00025,0.9998979568481445,0.9976190328598022,0.07174311578273773,0.9999047517776489
74,0.9979183673858643,0.06255421787500381,0.00025,1.0,0.9978095293045044,0.06609100848436356,0.9999047517776489
75,0.9975306391716003,0.06316155940294266,0.00025,0.9997959136962891,0.9977142810821533,0.07709347456693649,0.9999047517776489
76,0.9981632828712463,0.05841616541147232,0.00025,0.9999387860298157,0.9979047775268555,0.06781855970621109,0.9997143149375916
77,0.9978979825973511,0.058287668973207474,0.00025,0.9999387860298157,0.9978095293045044,0.06805558502674103,0.9998095035552979
78,0.9993265271186829,0.04387501999735832,0.000125,1.0,0.9979047775268555,0.04612939804792404,0.9998095035552979
79,0.9985510110855103,0.037774085998535156,0.000125,0.9999796152114868,0.9979047775268555,0.04365208372473717,1.0
80,0.9990612268447876,0.0322590097784996,0.000125,0.9999387860298157,0.9981904625892639,0.040738850831985474,0.9999047517776489
81,0.9990000128746033,0.03054463304579258,0.000125,0.9999591708183289,0.9980952143669128,0.037756990641355515,1.0
82,0.99871426820755,0.030136574059724808,0.000125,1.0,0.9980000257492065,0.04251265898346901,0.9999047517776489
83,0.9990203976631165,0.028894130140542984,0.000125,1.0,0.9974285960197449,0.041514866054058075,0.9999047517776489
84,0.9987550973892212,0.031069768592715263,0.000125,1.0,0.9980952143669128,0.039315398782491684,1.0
85,0.9988367557525635,0.030055062845349312,0.000125,0.9999796152114868,0.9980000257492065,0.03778616338968277,1.0
86,0.9991428852081299,0.028032749891281128,0.000125,0.9999796152114868,0.9979047775268555,0.03920998424291611,1.0
87,0.9988571405410767,0.029680760577321053,0.000125,0.9999387860298157,0.9973333477973938,0.04069674760103226,0.9999047517776489
88,0.9989795684814453,0.028731591999530792,0.000125,0.9999591708183289,0.9984762072563171,0.037493493407964706,0.9999047517776489
89,0.9986530542373657,0.030216893181204796,0.000125,0.9999796152114868,0.9980952143669128,0.039101261645555496,0.9999047517776489
90,0.9991020560264587,0.027584372088313103,0.000125,0.9999183416366577,0.998285710811615,0.037602681666612625,1.0
91,0.9992856979370117,0.027669571340084076,0.000125,0.9999796152114868,0.9981904625892639,0.03536107763648033,0.9999047517776489
92,0.9989591836929321,0.028254922479391098,0.000125,1.0,0.9971428513526917,0.04631755128502846,0.9998095035552979
93,0.9990612268447876,0.02724273130297661,0.000125,0.9999796152114868,0.9979047775268555,0.035507526248693466,1.0
94,0.9988163113594055,0.029339810833334923,0.000125,0.9999591708183289,0.9983809590339661,0.03814764320850372,1.0
95,0.9988571405410767,0.031131930649280548,0.000125,0.9999183416366577,0.9980000257492065,0.03568875044584274,1.0
96,0.9986938834190369,0.03122258558869362,0.000125,0.9999796152114868,0.9980952143669128,0.04200899600982666,0.9999047517776489
97,0.9988367557525635,0.03178970515727997,0.000125,0.9999183416366577,0.9978095293045044,0.0415358766913414,0.9999047517776489
98,0.9987754821777344,0.03126224875450134,0.000125,1.0,0.9981904625892639,0.039814259856939316,1.0
99,0.999550998210907,0.025044521316885948,6.25e-05,0.9999796152114868,0.9983809590339661,0.032601289451122284,0.9999047517776489
